objid,n_sources,grade,thetaE,thetaE_err,mag_g,mag_r,mag_i,mag_z,g_exp_time,g_mag_zero,r_exp_time,r_mag_zero,i_exp_time,i_mag_zero,z_exp_time,z_mag_zero
10919700408765.0,1,C,2.3767799959737395,0.3547821747109194,21.48603,20.020012,19.482162,19.42666,96.0,31.67316,30.0,30.568459,30.0,30.51584,30.0,30.223852
10999300075221.0,3,C,3.0062531167489293,0.4065063747985099,20.041393,18.653675,18.248632,18.013664000000002,40.0,30.651745,40.0,30.818825,45.0,30.854683,171.0,32.08933
10689000031396.0,1,A,2.746008413647256,0.3805064809937081,19.780169,18.438442,17.975437,17.653912,90.0,31.37949,30.0,30.494123,209.0,32.50447,94.0,31.319893
10858600020500.0,6,A,3.512209239479501,0.5409356454227373,19.988844,18.651579,18.33887,18.409676,90.0,31.58192,100.0,31.824093,90.0,31.635515,62.0,30.968895
10897200106093.0,2,C,3.0058714166585183,0.2849360972316565,20.20426,19.075783,18.663246,18.55798,90.0,31.631935,100.0,31.815208,90.0,31.659388,70.0,31.105843
10934600096379.0,1,C,2.051311436039258,0.3338537794847535,20.4864,19.470943,19.137663,18.757341,267.0,32.731937,100.0,31.82237,150.0,32.221794,333.0,32.76381
10667000062704.0,1,C,3.4103985156836223,0.4309150036350215,19.973663,19.14794,18.679941,18.540022,118.0,31.86244,50.0,30.985184,100.0,31.777748,143.0,31.77957
10781300130145.0,1,C,3.5630314053106065,0.4430930917451735,18.56641,17.94216,17.585663,17.477972,90.0,31.559776,31.0,30.56584,90.0,31.633892,56.0,30.83881
10960700016990.0,1,C,2.214482747463732,0.3441204707484651,18.527699,17.83609,17.44766,17.350798,100.0,31.61951,210.0,32.601276,90.0,31.661823,114.0,31.608105
10998300150702.0,3,B,3.0233454914288638,0.4669124291933257,17.993862,17.381802,17.24098,17.122505,90.0,31.399204,150.0,32.211967,184.0,32.40011,90.0,31.311169
10936200239632.0,2,C,3.3889723672527525,0.3985117803534704,21.464651,19.988338,19.673023,19.067387,240.0,32.479927,180.0,32.39231,300.0,33.040207,160.0,32.08661
10832200059518.0,1,B,3.745289457468665,0.4578771573274423,18.615732,17.74154,17.380156,17.08008,90.0,31.568829,30.0,30.522068,90.0,31.672123,150.0,32.010696
10818200072657.0,1,C,2.0357262987748177,0.3328984464295894,20.075436,18.972578,18.584984,18.323711,90.0,31.421911,90.0,31.58847,236.0,32.702232,85.0,31.149021
10959200234806.0,5,C,3.2245878840273234,0.4911851574296113,21.228642,19.706127,19.301983,19.110601000000003,200.0,32.459167,200.0,32.624348,200.0,32.563053,60.0,30.984154
10740800149113.0,1,C,1.8917206551472183,0.3242925074236317,21.00037,19.573946,19.287518,18.984083,90.0,31.411234,90.0,31.58663,163.0,32.251225,90.0,31.286398
10703200038523.0,1,C,1.6886249186221034,0.31288033041071,19.670992,18.776287,18.533615,18.274284,174.0,32.263786,66.0,31.300613,90.0,31.5708,112.0,31.514067
10729200084308.0,1,B,1.2939439239842814,0.2934662992306926,19.882908,18.93715,18.683777,18.441874,90.0,31.55622,31.0,30.519588,160.0,32.25976,90.0,31.241114
10896500118815.0,1,C,3.19423605817067,0.4140181154891377,21.72701,20.364817,19.834278,19.320597,100.0,31.61003,100.0,31.80919,90.0,31.671612,70.0,31.097702
10934700091568.0,2,C,2.2587883406050464,0.2755527552521026,20.118828,18.591839,18.088394,17.812416,90.0,31.419788,30.0,30.531202,151.0,32.119713,71.0,31.079706
10819500020822.0,4,B,2.5603721286395444,0.4184498726303793,21.489056,20.191639,19.013935,18.755184,90.0,31.586206,41.0,30.825846,90.0,31.670246,56.0,30.85065
10946100013561.0,1,C,1.6302972765570647,0.3097712899858439,20.61966,19.547302,19.090904,18.81549,267.0,32.662075,170.0,32.379242,333.0,33.033573,333.0,32.7582
10729000135498.0,1,C,2.577373268350598,0.3685214914276811,19.657879,18.516321,18.123676,17.790236,90.0,31.546593,30.0,30.428476,160.0,32.242775,60.0,30.794153
10804900009785.0,1,C,1.54826768953084,0.3055337761761401,20.171673,18.791481,18.238113,17.949404,90.0,31.396624,90.0,31.690403,90.0,31.64114,100.0,31.410948
